property_id,city,neighborhood,property_type,bedrooms,bathrooms,area_sqft,year_built,parking,furnishing,latitude,longitude,listing_price,status
PROP200000,Chennai,Salt Lake,Row House,2,3,1311,1997,Yes,Unfurnished,28.668723,77.680915,7542326,Withdrawn
PROP200001,Surrat,Banjara Hills,Plot,2,4,1049,2024,Yes,Furnished,18.054299,77.469878,8319656,Active
PROP200002,Kolkata,Andheri,Apartment,5,3,752,1990,No,Unfurnished,18.474639,75.462255,7557406,Active
PROP200003,Surrat,DLF Phase 3,Studio,2,2,1028,1994,Yes,Unfurnished,26.823845,73.528523,8982479,Under Offer
PROP200004,Kalkata,Malviya Nagar,Studio,1,1,1952,2008,No,Unfurnished,24.734479,82.202117,7014728,Under Offer
PROP200005,Gurugram,Banjara Hills,Plot,2,3,1191,1981,Yes,Furnished,19.316585,76.270972,8895125,Withdrawn
PROP200006,Surrat,Satellite,Apartment,2,2,849,2012,Yes,Furnished,19.380338,75.71238,8932404,Withdrawn
PROP200007,Mumbay,Indiranagar,Penthouse,1,1,1279,1980,No,Furnished,22.179641,74.775281,13285797,Withdrawn
PROP200008,Ahmedabad,Banjara Hills,Apartment,1,2,701,2005,No,Semi-Furnished,27.743606,84.984926,15223641,Sold
PROP200009,Jaipur,T Nagar,Apartment,1,2,861,1990,Covered,Unfurnished,17.645716,78.888509,4932939,Sold
PROP200010,Dehli,Andheri,Apartment,1,1,1702,2010,No,Furnished,27.763167,82.524677,11699652,Active
PROP200011,Bangalore,Malviya Nagar,Studio,2,2,1821,1999,Covered,Semi-Furnished,23.560751,78.239649,8229818,Sold
PROP200012,Bengaluru,Andheri,Penthouse,2,,1113,2020,Covered,Semi-Furnished,16.736461,83.398838,7739293,Under Offer
PROP200013,Surrat,Satellite,Penthouse,3,4,898,2024,No,Furnished,25.944386,79.927146,4183720,Active
PROP200014,Gurugrm,Kothrud,Apartment,1,1,1787,2004,Street,Unfurnished,22.495088,76.479253,9681235,Sold
PROP200015,Delhi,Satellite,Penthouse,1,2,1247,2012,Yes,Furnished,28.568981,80.158318,6017289,Under Offer
