property_id,amenities,age_years,condition,hoa_fee,energy_rating,school_score,walk_score
PROP200000,"Pool, Gym, Wifi, Parking, Club House",18,Needs Renovation,1728,A,92,95
PROP200001,"Wifi, Power Backup",3,New,1345,A,78,47
PROP200002,"Power Backup, Security",17,New,3524,D,62,58
PROP200003,"Lift, Parking",11,Old,664,E,86,72
PROP200004,"Play Area, Security",17,New,1852,A,87,75
PROP200005,"Intercom, Parking",16,Good,3480,F,45,60
PROP200006,"Lift, Garden, Gym",1,Needs Renovation,621,E,61,48
PROP200007,"Play Area, Intercom, Power Backup, Security",2,Good,3457,F,46,40
PROP200008,"Security, Parking, Power Backup, Garden",30,New,2276,E,96,43
PROP200009,"Lift, Parking",16,Old,1779,F,46,69
PROP200010,"Pool, Lift, Intercom",24,New,1281,D,81,81
PROP200011,"CCTV, Pool, Garden, Intercom",15,Old,2301,C,49,62
PROP200012,"Garden, Club House, Parking",15,Old,3730,A,62,52
PROP200013,"Lift, Gym, Wifi, Security, Club House",10,New,2674,F,57,85
PROP200014,"Parking, Security, Lift, Play Area, Intercom",14,Needs Renovation,,D,44,74
PROP200015,"Security, CCTV",37,Needs Renovation,565,B,40,36
PROP200016,"Security, Garden, Pool, Intercom",0,New,0,E,70,64
PROP200017,"Gym, Power Backup, Lift",22,Old,146,E,79,94
PROP200018,"Play Area, Gym",23,Old,,B,62,
PROP200019,"Club House, Garden, Parking, Lift",33,Needs Renovation,1821,D,,94
PROP200020,"Play Area, Garden, CCTV",28,Good,,C,40,54
PROP200021,"Lift, Club House",23,Old,,B,82,65
PROP200022,"Wifi, Security, Play Area",8,Old,4050,D,46,78
PROP200023,"Garden, Wifi, Pool",29,Old,3506,F,86,49
PROP200024,"Parking, Lift, Power Backup, Club House",3,Good,1602,D,55,69
PROP200025,"Gym, Club House, Parking, Intercom, Garden",26,Old,708,B,82,67
PROP200026,"Intercom, Power Backup, CCTV",22,Old,,A,56,47
PROP200027,"Parking, Play Area, Club House, Gym",12,New,2445,F,77,80
PROP200028,"Lift, Pool, Gym, Garden, Play Area",,Needs Renovation,,F,99,91
PROP200029,"Power Backup, Intercom, Gym",1,New,840,C,99,37
PROP200030,"Power Backup, Intercom",0,Good,720,A,62,30
PROP200031,"Garden, Gym, Power Backup, Security, Pool",21,New,,C,85,58
PROP200032,"Garden, CCTV",27,New,3764,D,56,91
PROP200033,"Gym, Security, Lift, Power Backup",15,Needs Renovation,,A,82,48
PROP200034,"CCTV, Garden",10,Needs Renovation,3694,C,60,71
PROP200035,"Gym, Lift, Parking, Garden",28,Needs Renovation,0,D,58,99
