property_id,age_years,condition,hoa_fee,energy_rating,school_score,walk_score,amenity_CCTV,amenity_Club House,amenity_Garden,amenity_Gym,amenity_Intercom,amenity_Lift,amenity_Parking,amenity_Play Area,amenity_Pool,amenity_Power Backup,amenity_Security,amenity_Wifi
PROP200000,18.0,Needs Renovation,1728.0,A,92.0,95.0,0,1,0,1,0,0,1,0,1,0,0,1
PROP200001,3.0,New,1345.0,A,78.0,47.0,0,0,0,0,0,0,0,0,0,1,0,1
PROP200002,17.0,New,3524.0,D,62.0,58.0,0,0,0,0,0,0,0,0,0,1,1,0
PROP200003,11.0,Old,664.0,E,86.0,72.0,0,0,0,0,0,1,1,0,0,0,0,0
PROP200004,17.0,New,1852.0,A,87.0,75.0,0,0,0,0,0,0,0,1,0,0,1,0
PROP200005,16.0,Good,3480.0,F,45.0,60.0,0,0,0,0,1,0,1,0,0,0,0,0
PROP200006,1.0,Needs Renovation,621.0,E,61.0,48.0,0,0,1,1,0,1,0,0,0,0,0,0
PROP200007,2.0,Good,3457.0,F,46.0,40.0,0,0,0,0,1,0,0,1,0,1,1,0
PROP200008,30.0,New,2276.0,E,96.0,43.0,0,0,1,0,0,0,1,0,0,1,1,0
PROP200009,16.0,Old,1779.0,F,46.0,69.0,0,0,0,0,0,1,1,0,0,0,0,0
PROP200010,24.0,New,1281.0,D,81.0,81.0,0,0,0,0,1,1,0,0,1,0,0,0
PROP200011,15.0,Old,2301.0,C,49.0,62.0,1,0,1,0,1,0,0,0,1,0,0,0
PROP200012,15.0,Old,3730.0,A,62.0,52.0,0,1,1,0,0,0,1,0,0,0,0,0
PROP200013,10.0,New,2674.0,F,57.0,85.0,0,1,0,1,0,1,0,0,0,0,1,1
PROP200014,14.0,Needs Renovation,2480.0,D,44.0,74.0,0,0,0,0,1,1,1,1,0,0,1,0
PROP200015,37.0,Needs Renovation,565.0,B,40.0,36.0,1,0,0,0,0,0,0,0,0,0,1,0
PROP200016,0.0,New,0.0,E,70.0,64.0,0,0,1,0,1,0,0,0,1,0,1,0
PROP200017,22.0,Old,146.0,E,79.0,94.0,0,0,0,1,0,1,0,0,0,1,0,0
PROP200018,23.0,Old,2480.0,B,62.0,,0,0,0,1,0,0,0,1,0,0,0,0
PROP200019,33.0,Needs Renovation,1821.0,D,,94.0,0,1,1,0,0,1,1,0,0,0,0,0
PROP200020,28.0,Good,2480.0,C,40.0,54.0,1,0,1,0,0,0,0,1,0,0,0,0
PROP200021,23.0,Old,2480.0,B,82.0,65.0,0,1,0,0,0,1,0,0,0,0,0,0
PROP200022,8.0,Old,4050.0,D,46.0,78.0,0,0,0,0,0,0,0,1,0,0,1,1
PROP200023,29.0,Old,3506.0,F,86.0,49.0,0,0,1,0,0,0,0,0,1,0,0,1
PROP200024,3.0,Good,1602.0,D,55.0,69.0,0,1,0,0,0,1,1,0,0,1,0,0
PROP200025,26.0,Old,708.0,B,82.0,67.0,0,1,1,1,1,0,1,0,0,0,0,0
