deal_id,deal_date,customer_id,broker_id,property_id,offer_price,final_price,mortgage,loan_rate,status,close_date,channel,lead_source,notes_freeform,price_band
DEAL300000,2022-07-10,CUST103914,BRK50481,PROP202034,3931599,4196995,Yes,10.59,Pending,,Referral,Billboard,urgent,Mid
DEAL300001,2023-11-19,CUST102593,BRK50184,PROP200094,11631261,11190474,Yes,9.6,Closed,2024-01-16,Walk-in,Newspaper,ok,High
DEAL300002,2023-02-01,CUST102931,BRK50215,PROP203518,6842931,6762374,Yes,10.84,Closed,2023-03-27,Email Campaign,Website,,Mid
DEAL300003,2020-08-01,CUST100630,BRK50338,PROP205572,12499576,12126444,Yes,10.32,Pending,,Referral,Broker Referral,see email,High
DEAL300004,2023-03-28,CUST101138,BRK50299,PROP207772,6100539,6206329,Yes,9.52,Pending,,Email Campaign,Google Ads,urgent,Mid
DEAL300005,2020-01-24,CUST101636,BRK50181,PROP203605,11421735,12227959,Yes,9.88,Closed,2020-03-25,Social Media,Billboard,urgent,High
DEAL300006,2024-09-11,CUST101319,BRK50288,PROP204787,5419149,5272019,No,9.77,Closed,2024-10-11,Walk-in,Facebook,na,Mid
DEAL300007,2018-03-06,CUST100684,BRK50284,PROP207676,10942104,10956635,Yes,,Pending,,Online Portal,Facebook,ok,High
DEAL300008,2019-03-15,CUST102660,BRK50195,PROP202272,12100723,12103326,No,9.59,Closed,2019-04-30,Referral,Broker Referral,N/A,High
DEAL300009,2022-05-16,CUST104129,BRK50331,PROP202173,3560548,3409918,Yes,10.91,Pending,,Email Campaign,Website,na,Mid
DEAL300010,2020-11-14,CUST103555,BRK50063,PROP207251,5760786,5486784,Yes,7.36,Pending,,Social Media,Instagram,ok,Mid
DEAL300011,2020-09-16,CUST100434,BRK50443,PROP203860,4551139,4538118,Yes,,Cancelled,,Walk-in,Google Ads,,Mid
DEAL300012,2020-04-18,CUST102736,BRK50024,PROP201630,7763667,7651193,Yes,7.73,Cancelled,,Email Campaign,Google Ads,??,Mid
DEAL300013,2019-06-25,CUST102308,BRK50416,PROP201519,11348300,12062794,Yes,8.55,Closed,2019-08-03,Social Media,Google Ads,N/A,High
DEAL300014,2018-05-11,CUST102025,BRK50409,PROP205794,5024915,5035290,Yes,10.35,Closed,2018-06-28,Social Media,Broker Referral,N/A,Mid
DEAL300015,2025-07-07,CUST104795,BRK50377,PROP204977,8006943,7653124,Yes,8.8,Closed,2025-10-04,Online Portal,Broker Referral,urgent,Mid
DEAL300016,2025-05-16,CUST104367,BRK50326,PROP202361,10923120,11581944,No,,Closed,2025-06-14,Cold Call,Facebook,urgent,High
DEAL300017,2018-12-09,CUST103000,BRK50260,PROP204632,5538279,5504215,Yes,8.11,Closed,2019-02-23,Cold Call,Broker Referral,N/A,Mid
DEAL300018,2020-12-01,CUST104983,BRK50015,PROP204051,9866352,10108171,Yes,,Closed,2021-01-07,Cold Call,Broker Referral,ok,High
DEAL300019,2018-02-11,CUST101225,BRK50199,PROP205393,13971192,14482286,No,,Pending,,Referral,Instagram,N/A,High
DEAL300020,2025-01-26,CUST101576,BRK50365,PROP206239,12062208,12749169,Yes,9.77,Pending,,Email Campaign,Broker Referral,client wants quick close,High
DEAL300021,2018-12-31,CUST102071,BRK50159,PROP207778,8595882,9176885,Yes,9.45,Cancelled,,Online Portal,Google Ads,urgent,High
