Column,MissingCount
deal_id,0
deal_date,0
customer_id,0
broker_id,0
property_id,0
offer_price,0
final_price,0
mortgage,0
loan_rate,0
status,0
close_date,0
channel,0
lead_source,0
notes_freeform,0
price_band,0
full_name,0
email,0
phone,0
city,0
annual_income,0
segment,0
broker_name,0
agency,0
experience_years,0
rating,0
city_broker,0
city_property,0
neighborhood,0
property_type,0
bedrooms,0
bathrooms,0
area_sqft,0
year_built,0
parking,0
furnishing,0
latitude,0
longitude,0
listing_price,0
status_property,0
amenities,0
age_years,0
condition,0
hoa_fee,0
energy_rating,0
school_score,0
walk_score,0
